key,value
"Bahamas, The",Bahamas
Brunei Darussalam,Brunei
"Congo, Rep.",Congo-Brazzaville
Congo (Brazzaville),Congo-Brazzaville
"Congo, Dem. Rep.",Congo-Kinshasa
Congo (Kinshasa),Congo-Kinshasa
Czechia,Czech Republic
"Egypt, Arab Rep.",Egypt
"Gambia, The",Gambia
"Iran, Islamic Rep.",Iran
"Korea, South",South Korea
"Korea, Rep.",South Korea
"Korea, Dem. People’s Rep.",North Korea
Kyrgyz Republic,Kyrgyzstan
Lao PDR,Laos
Russian Federation,Russia
Slovak Republic,Slovakia
USA,United States
US,United States
"Venezuela, RB",Venezuela
