Country,Country Code,Region,Income Group,Avg Pop Factor,Estimated Population
Afghanistan,AFG,South Asia,Low income,1.03,39271946
Albania,ALB,Europe & Central Asia,Upper middle income,0.996,2842338
Algeria,DZA,Middle East & North Africa,Lower middle income,1.02,43800627
American Samoa,ASM,East Asia & Pacific,Upper middle income,0.998,55183
Andorra,AND,Europe & Central Asia,High income,1.01,77816
Angola,AGO,Sub-Saharan Africa,Lower middle income,1.04,32955878
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1.01,98378
Arab World,ARB,,,1.02,437334626
Argentina,ARG,Latin America & Caribbean,Upper middle income,1.01,45409183
Armenia,ARM,Europe & Central Asia,Upper middle income,0.998,2951958
Aruba,ABW,Latin America & Caribbean,High income,1.01,107197
Australia,AUS,East Asia & Pacific,High income,1.01,25742062
Austria,AUT,Europe & Central Asia,High income,1.01,8925126
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1.01,10139740
Bahamas,BHS,Latin America & Caribbean,High income,1.01,395005
Bahrain,BHR,Middle East & North Africa,High income,1.05,1721141
Bangladesh,BGD,South Asia,Lower middle income,1.01,165159428
Barbados,BRB,Latin America & Caribbean,High income,1.0,287865
Belarus,BLR,Europe & Central Asia,Upper middle income,0.997,9440611
Belgium,BEL,Europe & Central Asia,High income,1.01,11552899
Belize,BLZ,Latin America & Caribbean,Upper middle income,1.02,399843
Benin,BEN,Sub-Saharan Africa,Lower middle income,1.03,12142401
Bermuda,BMU,North America,High income,1.0,64030
Bhutan,BTN,South Asia,Lower middle income,1.01,773424
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1.02,11704384
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,0.993,3278863
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1.02,2345019
Brazil,BRA,Latin America & Caribbean,Upper middle income,1.01,213153845
British Virgin Islands,VGB,Latin America & Caribbean,High income,1.02,30654
Brunei,BRN,East Asia & Pacific,High income,1.01,439319
Bulgaria,BGR,Europe & Central Asia,Upper middle income,0.992,6917975
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1.03,20929220
Burundi,BDI,Sub-Saharan Africa,Low income,1.03,11895511
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1.01,557226
Cambodia,KHM,East Asia & Pacific,Lower middle income,1.02,16753140
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1.03,26582589
Canada,CAN,North America,High income,1.01,37992868
Caribbean small states,CSS,,,1.01,7451330
Cayman Islands,CYM,Latin America & Caribbean,High income,1.02,66430
Central African Republic,CAF,Sub-Saharan Africa,Low income,1.01,4811839
Central Europe and the Baltics,CEB,,,0.997,102068725
Chad,TCD,Sub-Saharan Africa,Low income,1.03,16498674
Channel Islands,CHI,Europe & Central Asia,High income,1.01,173613
Chile,CHL,Latin America & Caribbean,High income,1.01,19163975
China,CHN,East Asia & Pacific,Upper middle income,1.01,1405211337
Colombia,COL,Latin America & Caribbean,Upper middle income,1.01,50977205
Comoros,COM,Sub-Saharan Africa,Lower middle income,1.02,871295
Congo-Brazzaville,COG,Sub-Saharan Africa,Lower middle income,1.03,5536372
