Country,Country Code,Avg Gdp Pc Factor,Gdp Per Capita
Albania,ALB,1.09,5353
Algeria,DZA,1.04,3948
Andorra,AND,1.03,40886
Angola,AGO,1.09,2974
Antigua and Barbuda,ATG,1.03,17790
Arab World,ARB,1.05,6580
Argentina,ARG,1.01,10006
Armenia,ARM,1.11,4623
Aruba,ABW,1.0,20621
Australia,AUS,1.05,54907
Austria,AUT,1.04,50277
Azerbaijan,AZE,1.11,4794
Bahamas,BHS,1.01,32933
Bahrain,BHR,1.03,23504
Bangladesh,BGD,1.08,1856
Barbados,BRB,1.03,18148
Belarus,BLR,1.09,6663
Belgium,BEL,1.04,46117
Belize,BLZ,1.02,4815
Benin,BEN,1.05,1219
Bermuda,BMU,1.0,56284
Bhutan,BTN,1.0,718
Bolivia,BOL,1.07,3552
Bosnia and Herzegovina,BIH,1.08,6073
Botswana,BWA,1.04,7961
Brazil,BRA,1.05,8717
Brunei,BRN,1.03,31087
Bulgaria,BGR,1.1,9738
Burkina Faso,BFA,1.06,775
Burundi,BDI,1.03,261
Cabo Verde,CPV,1.06,3604
Cambodia,KHM,1.09,1643
Cameroon,CMR,1.04,1498
Canada,CAN,1.03,46195
Caribbean small states,CSS,1.04,10308
Central African Republic,CAF,1.03,468
Central Europe and the Baltics,CEB,1.08,16184
Chad,TCD,1.08,710
Channel Islands,CHI,1.0,43382
Chile,CHL,1.06,14896
China,CHN,1.13,10262
Colombia,COL,1.05,6432
Comoros,COM,1.04,1394
Congo-Brazzaville,COG,1.04,2011
Congo-Kinshasa,COD,1.02,545
Costa Rica,CRI,1.06,12238
Cote d'Ivoire,CIV,1.07,2286
Croatia,HRV,1.06,14853
Cuba,CUB,1.0,2747
Cyprus,CYP,1.04,27858
Czech Republic,CZE,1.07,23102
Denmark,DNK,1.04,59822
Djibouti,DJI,1.08,3409
Dominica,DMA,1.03,8300
Dominican Republic,DOM,1.06,8282
Early-demographic dividend,EAR,1.05,3641
East Asia & Pacific,EAS,1.06,11527
East Asia & Pacific (IDA & IBRD countries),TEA,1.12,8308
East Asia & Pacific (excluding high income),EAP,1.12,8222
Ecuador,ECU,1.08,6184
Egypt,EGY,1.04,3020
El Salvador,SLV,1.04,4187
Equatorial Guinea,GNQ,1.09,8132
Eritrea,ERI,1.0,308
Estonia,EST,1.1,23660
Eswatini,SWZ,1.04,3837
Ethiopia,ETH,1.11,858
Euro area,EMU,1.04,38926
Europe & Central Asia,ECS,1.04,24696
Europe & Central Asia (IDA & IBRD countries),TEC,1.08,8989
Europe & Central Asia (excluding high income),ECA,1.08,8111
European Union,EUU,1.04,34843
Faroe Islands,FRO,1.0,22653
Fiji,FJI,1.06,6220
Finland,FIN,1.04,48686
Fragile and conflict affected situations,FCS,1.0,834
France,FRA,1.03,40494
French Polynesia,PYF,1.0,14324
Gabon,GAB,1.03,7667
Gambia,GMB,1.01,751
Georgia,GEO,1.1,4769
Germany,DEU,1.04,46259
Ghana,GHA,1.12,2202
Greece,GRC,1.03,19583
Greenland,GRL,1.0,19004
Grenada,GRD,1.04,10966
Guatemala,GTM,1.06,4620
Guinea,GIN,1.06,1064
Guinea-Bissau,GNB,1.04,698
Guyana,GUY,1.1,5468
Haiti,HTI,1.03,755
Heavily indebted poor countries (HIPC),HPC,1.05,947
High income,HIC,1.03,44584
Honduras,HND,1.05,2575
"Hong Kong SAR, China",HKG,1.03,48756
Hungary,HUN,1.07,16476
IBRD only,IBD,1.08,6565
IDA & IBRD total,IBT,1.08,5228
IDA blend,IDB,1.06,1762
IDA only,IDX,1.06,1186
IDA total,IDA,1.06,1377
Iceland,ISL,1.04,66945
India,IND,1.09,2104
Indonesia,IDN,1.09,4136
Iran,IRN,1.0,1670
Ireland,IRL,1.06,78661
Isle of Man,IMN,1.0,20323
Israel,ISR,1.04,43641
Italy,ITA,1.03,33190
Jamaica,JAM,1.03,5582
Japan,JPN,1.0,40247
Jordan,JOR,1.05,4330
Kazakhstan,KAZ,1.12,9731
Kenya,KEN,1.08,1817
Kiribati,KIR,1.04,1655
Kosovo,XKX,1.08,4418
Kuwait,KWT,1.03,32032
Kyrgyzstan,KGZ,1.08,1309
Laos,LAO,1.11,2535
Late-demographic dividend,LTE,1.1,10000
Latin America & Caribbean,LCN,1.04,8847
Latin America & Caribbean (excluding high income),LAC,1.04,8368
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.04,8681
Latvia,LVA,1.09,17836
Least developed countries: UN classification,LDC,1.06,1070
Lebanon,LBN,1.03,7784
Lesotho,LSO,1.05,1158
Liberia,LBR,1.04,622
Libya,LBY,1.0,7684
Liechtenstein,LIE,1.0,74854
Lithuania,LTU,1.1,19455
Low & middle income,LMY,1.08,5080
Low income,LIC,1.05,780
Lower middle income,LMC,1.07,2177
Luxembourg,LUX,1.05,114705
"Macao SAR, China",MAC,1.09,84096
Madagascar,MDG,1.03,522
Malawi,MWI,1.05,412
Malaysia,MYS,1.06,11415
Maldives,MDV,1.09,10791
Mali,MLI,1.06,891
Malta,MLT,1.06,29416
Marshall Islands,MHL,1.0,2273
Mauritania,MRT,1.05,1678
Mauritius,MUS,1.06,11204
Mexico,MEX,1.02,9863
"Micronesia, Fed. Sts.",FSM,1.0,2172
Middle East & North Africa,MEA,1.05,8105
Middle East & North Africa (IDA & IBRD countries),TMN,1.0,1619
Middle East & North Africa (excluding high income),MNA,1.0,1618
Middle income,MIC,1.08,5575
Moldova,MDA,1.13,4499
Monaco,MCO,1.0,82368
Mongolia,MNG,1.12,4295
Montenegro,MNE,1.09,8832
Morocco,MAR,1.05,3204
Mozambique,MOZ,1.02,492
Myanmar,MMR,1.11,1408
Namibia,NAM,1.05,4957
