Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Upper middle income,2020-01-22,2599475050,3731.0,534,-17,17,534,0,534,,,,,,,,,,,,,,,Inf,0.205,0.0065,-0.0065,0.0,0.205,6.99,1.44
Upper middle income,2020-01-23,2599475050,4021.0,620,-17,17,620,0,620,,,,,,,,,,,,,,,Inf,0.239,0.0065,-0.0065,0.0,0.239,6.49,1.55
Upper middle income,2020-01-24,2599475050,4250.0,885,32,24,885,56,829,,,,,,,,,,,,,,,0.429,0.34,0.0092,0.0123,0.0215,0.319,4.8,1.63
Upper middle income,2020-01-25,2599475050,4381.0,1320,92,40,1320,132,1188,,,,,,,,,,,,,,,0.303,0.508,0.0154,0.0354,0.0508,0.457,3.32,1.69
Upper middle income,2020-01-26,2599475050,4601.0,1916,187,52,1916,239,1677,732.0,732.0,128.71,15.86,144.57,587.43,,,,,,,,,0.218,0.737,0.02,0.0719,0.0919,0.645,2.4,1.77
Upper middle income,2020-01-27,2599475050,4942.0,2639,314,78,2639,392,2247,995.14,995.14,183.86,21.14,205.0,790.14,,,,,,,,,0.199,1.02,0.03,0.121,0.151,0.864,1.87,1.9
Upper middle income,2020-01-28,2599475050,5262.0,5179,469,127,5179,596,4583,1175.0,1175.0,250.71,26.14,276.86,898.14,,,,,,,,,0.213,1.99,0.0489,0.18,0.229,1.76,1.02,2.02
Upper middle income,2020-01-29,2599475050,5580.0,5658,884,128,5658,1012,4646,1390.0,1390.0,328.14,30.43,358.57,1031.43,310.06,82.49,6.57,89.06,221.0,,,,0.126,2.18,0.0492,0.34,0.389,1.79,0.986,2.15
Upper middle income,2020-01-30,2599475050,5951.0,7586,1270,165,7586,1435,6151,1964.86,1964.86,409.14,43.29,452.43,1512.43,294.0,101.74,6.0,107.74,186.26,,,,0.115,2.92,0.0635,0.489,0.552,2.37,0.784,2.29
Upper middle income,2020-01-31,2599475050,6241.0,9110,1787,207,9110,1994,7116,2282.29,2282.29,541.14,48.71,589.86,1692.43,346.34,117.66,7.03,124.69,221.66,,,,0.104,3.5,0.0796,0.687,0.767,2.74,0.685,2.4
Upper middle income,2020-02-01,2599475050,6532.0,11050,2389,253,11050,2642,8408,2465.14,2465.14,692.57,51.14,743.71,1721.43,333.46,137.71,7.09,144.8,188.66,-16.7257,,,0.0958,4.25,0.0973,0.919,1.02,3.23,0.591,2.51
Upper middle income,2020-02-02,2599475050,6790.0,15670,3051,355,15670,3406,12264,2906.71,2906.71,839.0,61.29,900.29,2006.43,271.23,156.23,5.71,161.94,109.29,-30.4857,,,0.104,6.03,0.137,1.17,1.31,4.72,0.433,2.61
Upper middle income,2020-02-03,2599475050,7058.0,18615,4102,419,18615,4521,14094,3057.29,3057.29,1016.71,65.86,1082.57,1974.71,226.43,166.17,5.71,171.89,54.54,-61.5314,,,0.0927,7.16,0.161,1.58,1.74,5.42,0.379,2.72
