Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Lower middle income,2020-01-22,2958315947,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Lower middle income,2020-01-23,2958315947,,2,0,0,2,0,2,,,,,,,,,,,,,,,,0.0007,0.0,0.0,0.0,0.0007,,
Lower middle income,2020-01-24,2958315947,,2,0,0,2,0,2,,,,,,,,,,,,,,,,0.0007,0.0,0.0,0.0,0.0007,,
Lower middle income,2020-01-25,2958315947,,3,0,0,3,0,3,,,,,,,,,,,,,,,,0.001,0.0,0.0,0.0,0.001,,
Lower middle income,2020-01-26,2958315947,,3,0,0,3,0,3,0.714,0.714,0.143,0.0,0.143,0.571,,,,,,,,,,0.001,0.0,0.0,0.0,0.001,,
Lower middle income,2020-01-27,2958315947,,5,1,0,5,1,4,0.714,0.714,0.143,0.0,0.143,0.571,,,,,,,,,0.0,0.0017,0.0,0.0003,0.0003,0.0014,,
Lower middle income,2020-01-28,2958315947,3,5,1,0,5,1,4,0.714,0.714,0.143,0.0,0.143,0.571,,,,,,,,,0.0,0.0017,0.0,0.0003,0.0003,0.0014,0.6,0.001
Lower middle income,2020-01-29,2958315947,4,5,1,0,5,1,4,1.14,1.14,0.143,0.0,0.143,1.0,0.171,0.0,0.0286,0.0286,0.143,,,,0.0,0.0017,0.0,0.0003,0.0003,0.0014,0.8,0.0014
Lower middle income,2020-01-30,2958315947,5,7,1,0,7,1,6,1.43,1.43,0.286,0.143,0.429,1.0,0.171,0.143,0.0286,0.171,0.0,,,,0.0,0.0024,0.0,0.0003,0.0003,0.002,0.714,0.0017
Lower middle income,2020-01-31,2958315947,,7,1,0,7,1,6,1.57,1.57,0.143,0.143,0.286,1.29,0.171,0.143,0.0286,0.171,0.0,,,,0.0,0.0024,0.0,0.0003,0.0003,0.002,,
Lower middle income,2020-02-01,2958315947,,11,1,0,11,1,10,1.57,1.57,0.857,0.143,1.0,0.571,0.0857,0.143,0.0286,0.171,-0.0857,-0.0343,,,0.0,0.0037,0.0,0.0003,0.0003,0.0034,,
Lower middle income,2020-02-02,2958315947,,13,2,1,13,3,10,1.57,1.57,0.857,0.143,1.0,0.571,0.0571,0.143,0.0,0.143,-0.0857,-0.0457,,,0.333,0.0044,0.0003,0.0007,0.001,0.0034,,
Lower middle income,2020-02-03,2958315947,,16,2,1,16,3,13,1.57,1.57,0.857,0.143,1.0,0.571,0.0,0.2,0.0,0.2,-0.2,-0.0571,,,0.333,0.0054,0.0003,0.0007,0.001,0.0044,,
Lower middle income,2020-02-04,2958315947,14,16,7,1,16,8,8,1.71,1.71,1.0,0.143,1.14,0.571,-0.0571,0.0571,-0.0286,0.0286,-0.0857,-0.0343,0.0023,,0.125,0.0054,0.0003,0.0024,0.0027,0.0027,0.875,0.0047
Lower middle income,2020-02-05,2958315947,,16,7,1,16,8,8,1.57,1.57,1.14,0.143,1.29,0.286,-0.1143,0.0857,-0.0286,0.0571,-0.1714,-0.0343,0.0091,,0.125,0.0054,0.0003,0.0024,0.0027,0.0027,,
