Income Group,Date,Estimated Population,Total Tests,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Low income,2020-01-22,612531411,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-23,612531411,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-24,612531411,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-25,612531411,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-26,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-27,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-28,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-29,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-30,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-01-31,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-01,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-02,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-03,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-04,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-05,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-06,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-07,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-08,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-09,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-10,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-11,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-12,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-13,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-14,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-15,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0002,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-16,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0002,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-17,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0011,0.0002,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-18,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.0011,-0.0007,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-19,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0,0.0,0.0286,0.0057,0.0011,-0.0007,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-20,612531411,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0,0.0,0.0286,0.0057,-0.0023,-0.0009,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-21,612531411,,0,0,0,0,0,0,0.143,0.143,0.0,0.0,0.0,0.143,0.0286,0.0,0.0,0.0,0.0286,0.0057,-0.0023,-0.0009,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-22,612531411,,0,0,0,0,0,0,0.143,0.143,0.0,0.0,0.0,0.143,0.0286,0.0,0.0,0.0,0.0286,-0.0057,-0.0034,-0.0009,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-23,612531411,,0,0,0,0,0,0,0.143,0.143,0.0,0.0,0.0,0.143,0.0286,0.0,0.0,0.0,0.0286,-0.0057,-0.0034,0.0005,,0.0,0.0,0.0,0.0,0.0,,
Low income,2020-02-24,612531411,,1,0,0,1,0,1,0.143,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,-0.0114,-0.0034,0.0007,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-02-25,612531411,,1,0,0,1,0,1,0.143,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,-0.0114,0.0,0.0016,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-02-26,612531411,,1,0,0,1,0,1,0.143,0.143,0.0,0.0,0.0,0.143,-0.0286,0.0,0.0,0.0,-0.0286,-0.0114,0.0011,0.0023,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-02-27,612531411,,1,0,0,1,0,1,0.143,0.143,0.0,0.0,0.0,0.143,-0.0286,0.0286,0.0,0.0286,-0.0571,-0.0057,0.0046,0.0023,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-02-28,612531411,,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0286,0.0,0.0286,-0.0571,0.0,0.008,0.0018,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-02-29,612531411,,1,0,0,1,0,1,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.0286,0.0286,0.0,0.0286,-0.0571,0.0114,0.008,0.0018,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-03-01,612531411,,1,0,0,1,0,1,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0286,0.0091,0.0005,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-03-02,612531411,,1,0,0,1,0,1,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0286,0.0286,0.0,0.0286,0.0,0.0286,0.0103,-0.0016,,0.0016,0.0,0.0,0.0,0.0016,,
Low income,2020-03-03,612531411,,1,1,0,1,1,0,0.143,0.143,0.143,0.0,0.143,0.0,0.114,0.0,0.0,0.0,0.114,0.04,0.0069,-0.0005,0.0,0.0016,0.0,0.0016,0.0016,0.0,,
Low income,2020-03-04,612531411,2,1,1,0,1,1,0,0.143,0.143,0.143,0.0,0.143,0.0,0.114,0.0,0.0,0.0,0.114,0.0514,0.0,-0.0011,0.0,0.0016,0.0,0.0016,0.0016,0.0,2.0,0.0033
Low income,2020-03-05,612531411,4,1,1,0,1,1,0,0.571,0.571,0.143,0.0,0.143,0.429,0.171,-0.0286,0.0,-0.0286,0.2,0.0457,0.0057,0.0027,0.0,0.0016,0.0,0.0016,0.0016,0.0,4.0,0.0065
Low income,2020-03-06,612531411,,2,1,0,2,1,1,0.571,0.571,0.143,0.0,0.143,0.429,0.257,0.0,0.0,0.0,0.257,0.0286,0.0034,0.0043,0.0,0.0033,0.0,0.0016,0.0016,0.0016,,
Low income,2020-03-07,612531411,5,2,1,0,2,1,1,0.857,0.857,0.0,0.0,0.0,0.857,0.257,0.0,0.0,0.0,0.257,0.0571,0.024,0.0071,0.0,0.0033,0.0,0.0016,0.0016,0.0016,2.5,0.0082
Low income,2020-03-08,612531411,,5,1,0,5,1,4,1.43,1.43,0.143,0.0,0.143,1.29,0.257,0.0,0.0286,0.0286,0.229,0.0571,0.0286,0.008,0.0,0.0082,0.0,0.0016,0.0016,0.0065,,
Low income,2020-03-09,612531411,9,5,1,0,5,1,4,1.43,1.43,0.143,0.0,0.143,1.29,0.4,0.0571,0.0286,0.0857,0.314,0.171,0.0354,0.0155,0.0,0.0082,0.0,0.0016,0.0016,0.0065,1.8,0.0147
Low income,2020-03-10,612531411,13,7,1,0,7,1,6,1.86,1.86,0.143,0.143,0.286,1.57,0.457,0.114,0.0286,0.143,0.314,0.189,0.0457,0.0034,0.0,0.0114,0.0,0.0016,0.0016,0.0098,1.86,0.0212
Low income,2020-03-11,612531411,,11,2,0,11,2,9,2.57,2.57,0.429,0.143,0.571,2.0,1.11,0.143,0.0286,0.171,0.943,0.206,0.0811,0.0078,0.0,0.018,0.0,0.0033,0.0033,0.0147,,
Low income,2020-03-12,612531411,17,11,2,0,11,2,9,3.14,3.14,0.571,0.143,0.714,2.43,1.2,0.257,0.0286,0.286,0.914,0.286,0.0411,0.0144,0.0,0.018,0.0,0.0033,0.0033,0.0147,1.55,0.0278
Low income,2020-03-13,612531411,,15,2,1,15,3,12,7.0,7.0,0.857,0.143,1.0,6.0,1.29,0.286,0.0286,0.314,0.971,0.463,0.0674,0.0153,0.333,0.0245,0.0016,0.0033,0.0049,0.0196,,
Low income,2020-03-14,612531411,19,20,4,1,20,5,15,7.43,7.43,1.43,0.143,1.57,5.86,1.83,0.4,0.0286,0.429,1.4,0.377,0.107,-0.0016,0.2,0.0327,0.0016,0.0065,0.0082,0.0245,0.95,0.031
Low income,2020-03-15,612531411,,27,5,1,27,6,21,8.29,8.29,1.57,0.286,1.86,6.43,2.77,0.486,0.0,0.486,2.29,0.526,0.122,0.0037,0.167,0.0441,0.0016,0.0082,0.0098,0.0343,,
Low income,2020-03-16,612531411,22,54,7,1,54,8,46,11.71,11.71,2.43,0.286,2.71,9.0,3.0,0.657,0.0571,0.714,2.29,0.743,0.0731,-0.013,0.125,0.0882,0.0016,0.0114,0.0131,0.0751,0.407,0.0359
Low income,2020-03-17,612531411,113,59,11,1,59,12,47,17.0,17.0,3.0,0.143,3.14,13.86,3.83,0.8,0.143,0.943,2.89,0.897,0.0594,-0.0446,0.0833,0.0963,0.0016,0.018,0.0196,0.0767,1.92,0.184
Low income,2020-03-18,612531411,54,69,13,2,69,15,54,22.0,22.0,4.14,0.429,4.57,17.43,5.0,1.06,0.143,1.2,3.8,0.829,0.0023,-0.0693,0.133,0.113,0.0033,0.0212,0.0245,0.0882,0.783,0.0882
Low income,2020-03-19,612531411,84,93,19,2,93,21,72,26.57,26.57,5.43,0.857,6.29,20.29,6.31,1.37,0.171,1.54,4.77,0.674,-0.1154,-0.0617,0.0952,0.152,0.0033,0.031,0.0343,0.118,0.903,0.137
Low income,2020-03-20,612531411,105,134,23,2,134,25,109,33.29,33.29,6.86,1.0,7.86,25.43,6.91,1.86,0.229,2.09,4.83,0.537,-0.224,-0.0494,0.08,0.219,0.0033,0.0375,0.0408,0.178,0.784,0.171
Low income,2020-03-21,612531411,130,174,33,4,174,37,137,43.29,43.29,9.29,1.14,10.43,32.86,6.37,2.17,0.343,2.51,3.86,0.166,-0.2354,-0.0185,0.108,0.284,0.0065,0.0539,0.0604,0.224,0.747,0.212
Low income,2020-03-22,612531411,537,213,43,7,213,50,163,51.57,51.57,12.29,1.29,13.57,38.0,6.51,2.54,0.343,2.89,3.63,-0.2229,-0.1874,0.0427,0.14,0.348,0.0114,0.0702,0.0816,0.266,2.52,0.877
