income_group,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Upper middle income,2020-01-22,2650801191,681,550,-17,17,550,0,550,,,,,,,,,,,,,,Inf,0.03090909090909091,0.20748443974876726,0.006413155410416442,-0.006413155410416442,0.0,0.20748443974876726,1.2381818181818183,0.25690346085256455
Upper middle income,2020-01-23,2650801191,727,646,-18,18,646,0,646,,,,,,,,,,,,,,Inf,0.02786377708978328,0.24369990559582483,0.006790399846323293,-0.006790399846323293,0.0,0.24369990559582483,1.1253869969040247,0.2742567049042796
Upper middle income,2020-01-24,2650801191,773,925,32,26,925,58,867,,,,,,,,,,,,,,0.4482758620689655,0.02810810810810811,0.3489511032138359,0.009808355333578088,0.012071821949019186,0.021880177282597276,0.3270709259312386,0.8356756756756757,0.29160994895599474
Upper middle income,2020-01-25,2650801191,788,1416,96,42,1416,138,1278,829.6666666666666,,19.0,,,,,,,,,,,0.30434782608695654,0.029661016949152543,0.534178121244099,0.015844266308087683,0.03621546584705756,0.05205973215514524,0.48211838908895377,0.556497175141243,0.29726861549459743
Upper middle income,2020-01-26,2650801191,822,2087,197,56,2087,253,1834,910.5,,19.166666666666668,,,,,,,,,,,0.22134387351778656,0.026832774317201723,0.787309137737595,0.021125688410783577,0.07431715387364936,0.09544284228443294,0.6918662954531621,0.39386679444178246,0.31009492631543034
Upper middle income,2020-01-27,2650801191,865,2890,339,82,2890,421,2469,1206.5,223.66666666666666,24.166666666666668,247.83333333333331,958.6666666666667,,,,,,,,,0.19477434679334918,0.02837370242214533,1.0902364197707952,0.030934043744361664,0.127885863772422,0.15881990751678368,0.9314165122540116,0.29930795847750863,0.32631643705942487
Upper middle income,2020-01-28,2650801191,916,5528,513,131,5528,644,4884,1402.6666666666667,306.1666666666667,28.5,334.6666666666667,1068.0,256.6666666666667,,5.0,,,,,,0.20341614906832298,0.02369753979739508,2.0854072416930642,0.04941902110379729,0.19352639562021381,0.24294541672401113,1.8424618249690532,0.16570188133140376,0.3455559032906742
Upper middle income,2020-01-29,2650801191,947,6109,955,133,6109,1088,5021,1639.0,398.3333333333333,33.833333333333336,432.16666666666663,1206.8333333333335,338.1388888888889,,6.75,,,,,,0.12224264705882353,0.021771157308888525,2.304586258954944,0.05017350997561099,0.3602684362910413,0.4104419462666523,1.8941443126882918,0.15501718775577017,0.3572504808037865
Upper middle income,2020-01-30,2650801191,986,8164,1374,171,8164,1545,6619,2295.0,495.0,46.5,541.5,1753.5,335.47222222222223,125.61111111111113,6.86111111111111,132.47222222222223,203.0,21.90972222222223,,,0.11067961165048544,0.02094561489465948,3.07982357474352,0.06450879854007127,0.5183338549360113,0.5828426534760826,2.496980921267437,0.12077413032827046,0.3719630138041537
Upper middle income,2020-01-31,2650801191,1018,9832,1933,213,9832,2146,7686,2369.6666666666665,652.1666666666666,49.0,701.1666666666666,1668.5,343.86111111111114,144.05555555555554,6.916666666666667,150.9722222222222,192.88888888888894,-39.84722222222223,,,0.09925442684063374,0.02166395443449959,3.709067293836145,0.08035306484815896,0.7292134946079402,0.8095665594560991,2.899500734380046,0.10353946297803092,0.3840348357531729
Upper middle income,2020-02-01,2650801191,1026,11921,2587,259,11921,2846,9075,2939.3333333333335,793.5,59.666666666666664,853.1666666666666,2086.166666666667,344.3055555555556,161.30555555555557,7.111111111111111,168.41666666666669,175.8888888888889,-42.78472222222222,-31.086805555555564,,0.0910049191848208,0.02172636523781562,4.497130920445554,0.09770630889987404,0.9759313556910199,1.0736376645908938,3.42349325585466,0.08606660515057461,0.38705279124042763
