income_group,date,estimated_population,total_tests,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Lower middle income,2020-01-22,3117499890,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Lower middle income,2020-01-23,3117499890,,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.0006415397179051705,0.0,0.0,0.0,0.0006415397179051705,,
Lower middle income,2020-01-24,3117499890,,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.0006415397179051705,0.0,0.0,0.0,0.0006415397179051705,,
Lower middle income,2020-01-25,3117499890,,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.0006415397179051705,0.0,0.0,0.0,0.0006415397179051705,,
Lower middle income,2020-01-26,3117499890,,2,0,0,2,0,2,0.16666666666666666,,,,,,,,,,,,,,0.0,0.0006415397179051705,0.0,0.0,0.0,0.0006415397179051705,,
Lower middle income,2020-01-27,3117499890,,3,1,0,3,1,2,0.5,,,,,,,,,,,,,0.0,0.0,0.0009623095768577557,0.0,0.00032076985895258527,0.00032076985895258527,0.0006415397179051705,,
Lower middle income,2020-01-28,3117499890,,3,1,0,3,1,2,0.5,,,,,,,,,,,,,0.0,0.0,0.0009623095768577557,0.0,0.00032076985895258527,0.00032076985895258527,0.0006415397179051705,,
Lower middle income,2020-01-29,3117499890,,3,1,0,3,1,2,1.1666666666666667,,,,,0.27777777777777773,,,,,,,,0.0,0.0,0.0009623095768577557,0.0,0.00032076985895258527,0.00032076985895258527,0.0006415397179051705,,
Lower middle income,2020-01-30,3117499890,,5,1,0,5,1,4,1.3333333333333333,0.0,,,,0.16666666666666666,,,,,,,,0.0,0.0,0.0016038492947629262,0.0,0.00032076985895258527,0.00032076985895258527,0.001283079435810341,,
Lower middle income,2020-01-31,3117499890,,5,1,0,5,1,4,1.8333333333333333,0.0,,,,0.2222222222222222,,,,,-0.062499999999999986,,,0.0,0.0,0.0016038492947629262,0.0,0.00032076985895258527,0.00032076985895258527,0.001283079435810341,,
Lower middle income,2020-02-01,3117499890,,9,1,0,9,1,8,1.8333333333333333,0.6666666666666666,,,,0.027777777777777752,,,,,-0.07638888888888888,,,0.0,0.0,0.0028869287305732672,0.0,0.00032076985895258527,0.00032076985895258527,0.002566158871620682,,
Lower middle income,2020-02-02,3117499890,,11,1,1,11,2,9,1.5,0.6666666666666666,,,,0.02777777777777779,,,,,-0.08333333333333333,,,0.5,0.09090909090909091,0.0035284684484784374,0.00032076985895258527,0.00032076985895258527,0.0006415397179051705,0.0028869287305732672,,
Lower middle income,2020-02-03,3117499890,,14,1,1,14,2,12,1.8333333333333333,0.6666666666666666,,,,-0.13888888888888887,,,,,-0.013888888888888885,,,0.5,0.07142857142857142,0.004490778025336193,0.00032076985895258527,0.00032076985895258527,0.0006415397179051705,0.003849238307431023,,
Lower middle income,2020-02-04,3117499890,,14,5,1,14,6,8,1.3333333333333333,0.8333333333333334,,,,-0.11111111111111109,0.0,,,,-0.041666666666666664,,,0.16666666666666666,0.07142857142857142,0.004490778025336193,0.00032076985895258527,0.0016038492947629262,0.0019246191537155115,0.002566158871620682,,
Lower middle income,2020-02-05,3117499890,,14,5,1,14,6,8,1.5,1.0,0.0,1.0,0.5,-0.02777777777777779,0.05555555555555556,,,,,,,0.16666666666666666,0.07142857142857142,0.004490778025336193,0.00032076985895258527,0.0016038492947629262,0.0019246191537155115,0.002566158871620682,,
Lower middle income,2020-02-06,3117499890,,16,5,1,16,6,10,1.0,1.1666666666666667,0.0,1.1666666666666667,-0.16666666666666674,-0.13888888888888887,0.08333333333333336,,,,,,,0.16666666666666666,0.0625,0.005132317743241364,0.00032076985895258527,0.0016038492947629262,0.0019246191537155115,0.0032076985895258523,,
Lower middle income,2020-02-07,3117499890,9,17,6,1,17,7,10,1.1666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.5000000000000001,-0.055555555555555546,0.027777777777777773,,,,,,,0.14285714285714285,0.058823529411764705,0.005453087602193949,0.00032076985895258527,0.0019246191537155115,0.0022453890126680966,0.0032076985895258523,0.5294117647058824,0.0028869287305732672
Lower middle income,2020-02-08,3117499890,,20,7,1,20,8,12,1.3333333333333333,1.0,0.0,1.0,0.33333333333333326,-0.1388888888888889,0.0,,,,,,,0.125,0.05,0.006415397179051705,0.00032076985895258527,0.0022453890126680966,0.002566158871620682,0.003849238307431023,,
Lower middle income,2020-02-09,3117499890,,20,8,1,20,9,11,1.0,1.1666666666666667,0.0,1.1666666666666667,-0.16666666666666674,-0.05555555555555556,-0.02777777777777779,,,,,,,0.1111111111111111,0.05,0.006415397179051705,0.00032076985895258527,0.002566158871620682,0.0028869287305732672,0.0035284684484784374,,
Lower middle income,2020-02-10,3117499890,,21,9,1,21,10,11,1.0,1.0,0.0,1.0,0.0,-0.11111111111111112,0.02777777777777779,,,,,,,0.1,0.047619047619047616,0.00673616703800429,0.00032076985895258527,0.0028869287305732672,0.0032076985895258523,0.0035284684484784374,,
Lower middle income,2020-02-11,3117499890,,22,11,1,22,12,10,0.6666666666666666,1.0,0.0,1.0,-0.33333333333333337,-0.16666666666666666,-0.05555555555555556,,,,,,,0.08333333333333333,0.045454545454545456,0.007056936896956875,0.00032076985895258527,0.0035284684484784374,0.003849238307431023,0.0032076985895258523,,
Lower middle income,2020-02-12,3117499890,,22,12,1,22,13,9,0.6666666666666666,1.0,0.0,1.0,-0.33333333333333337,-0.11111111111111112,-0.11111111111111112,,,,,,,0.07692307692307693,0.045454545454545456,0.007056936896956875,0.00032076985895258527,0.003849238307431023,0.0041700081663836085,0.0028869287305732672,,
Lower middle income,2020-02-13,3117499890,,23,12,1,23,13,10,0.5,0.8333333333333334,0.0,0.8333333333333334,-0.33333333333333337,-0.1388888888888889,-0.05555555555555556,,,,,,,0.07692307692307693,0.043478260869565216,0.00737770675590946,0.00032076985895258527,0.003849238307431023,0.0041700081663836085,0.0032076985895258523,,
Lower middle income,2020-02-14,3117499890,,24,13,1,24,14,10,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,-0.3333333333333333,-0.1111111111111111,-0.08333333333333333,,,,,,,0.07142857142857142,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.0041700081663836085,0.004490778025336193,0.0032076985895258523,,
Lower middle income,2020-02-15,3117499890,10,24,14,1,24,15,9,0.3333333333333333,0.5,0.0,0.5,-0.16666666666666669,-0.1111111111111111,-0.08333333333333333,,,,,,,0.06666666666666667,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.004490778025336193,0.004811547884288779,0.0028869287305732672,0.4166666666666667,0.0032076985895258523
Lower middle income,2020-02-16,3117499890,,24,14,1,24,15,9,0.16666666666666666,0.6666666666666666,0.0,0.6666666666666666,-0.5,-0.08333333333333333,0.027777777777777773,,,,,,,0.06666666666666667,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.004490778025336193,0.004811547884288779,0.0028869287305732672,,
Lower middle income,2020-02-17,3117499890,,24,15,1,24,16,8,0.0,0.5,0.0,0.5,-0.5,-0.05555555555555555,0.02777777777777779,,,,,,,0.0625,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.004811547884288779,0.005132317743241364,0.002566158871620682,,
Lower middle income,2020-02-18,3117499890,,24,15,1,24,16,8,0.0,0.5,0.0,0.5,-0.5,-0.05555555555555555,0.05555555555555556,,,,,,,0.0625,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.004811547884288779,0.005132317743241364,0.002566158871620682,,
Lower middle income,2020-02-19,3117499890,11,24,16,1,24,17,7,0.0,1.0,0.0,1.0,-1.0,0.027777777777777776,0.02777777777777779,,,,,,,0.058823529411764705,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.005132317743241364,0.005453087602193949,0.0022453890126680966,0.4583333333333333,0.0035284684484784374
Lower middle income,2020-02-20,3117499890,,24,16,1,24,17,7,0.0,0.8333333333333334,0.0,0.8333333333333334,-0.8333333333333334,,0.05555555555555556,,,,,,,0.058823529411764705,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.005132317743241364,0.005453087602193949,0.0022453890126680966,,
Lower middle income,2020-02-21,3117499890,,24,17,1,24,18,6,0.0,0.8333333333333334,0.0,0.8333333333333334,-0.8333333333333334,,0.027777777777777773,,,,,,,0.05555555555555555,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.005453087602193949,0.0057738574611465344,0.0019246191537155115,,
Lower middle income,2020-02-22,3117499890,12,24,20,1,24,21,3,0.3333333333333333,0.8333333333333334,0.0,0.8333333333333334,-0.5,,-0.1388888888888889,,,,,,,0.047619047619047616,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.006415397179051705,0.00673616703800429,0.0009623095768577557,0.5,0.003849238307431023
Lower middle income,2020-02-23,3117499890,13,24,20,1,24,21,3,0.3333333333333333,0.8333333333333334,0.0,0.8333333333333334,-0.5,,-0.08333333333333333,,,,,,,0.047619047619047616,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.006415397179051705,0.00673616703800429,0.0009623095768577557,0.5416666666666666,0.0041700081663836085
Lower middle income,2020-02-24,3117499890,14,24,20,1,24,21,3,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,-0.3333333333333333,,-0.08333333333333333,,,,,,,0.047619047619047616,0.041666666666666664,0.007698476614862046,0.00032076985895258527,0.006415397179051705,0.00673616703800429,0.0009623095768577557,0.5833333333333334,0.004490778025336193
