Country,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,,2020-02-25,33.0,65.0,39653765,,,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0252,0.0,0.0,0.0,0.0252,,
Albania,Upper middle income,2020-02-25,41.15,20.17,2842650,5269,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Algeria,Upper middle income,2020-02-25,28.03,1.66,43697354,4115,,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0229,0.0,0.0,0.0,0.0229,,
Andorra,High income,2020-02-25,42.51,1.52,78418,42030,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Angola,Lower middle income,2020-02-25,-11.2027,17.87,33046756,3432,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,High income,2020-02-25,17.06,-61.7964,98848,16727,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Argentina,Upper middle income,2020-02-25,-38.4161,-63.6167,45433446,11684,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Armenia,Upper middle income,2020-02-25,40.07,45.04,2938968,4212,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Australia,High income,2020-02-25,-31.9962,141.23,25731295,57396,,,15,14,0,15,14,1,0.0,0.167,,,,,0.0,,,,,,,0.0,0.0,0.583,0.0,0.544,0.544,0.0389,,
Austria,High income,2020-02-25,47.52,14.55,8937767,51500,218,samples tested,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.224,0.0,0.0,0.0,0.224,109.0,24.39
Azerbaijan,Upper middle income,2020-02-25,40.14,47.58,10175641,4722,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bahamas,High income,2020-02-25,25.03,-77.3963,396839,32218,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bahrain,High income,2020-02-25,26.03,50.55,1726667,24051,,,23,0,0,23,0,23,,,,,,,,,,,,,,,0.0,13.32,0.0,0.0,0.0,13.32,,
Bangladesh,Lower middle income,2020-02-25,23.68,90.36,165611088,1698,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Barbados,High income,2020-02-25,13.19,-59.5432,288373,17949,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Belarus,Upper middle income,2020-02-25,53.71,27.95,9429921,6330,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
