Country,Region,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,,,2020-05-17,33.0,65.0,39271946,,,,6664,3737,169,6664,3906,2758,417.0,417.0,238.43,7.86,246.29,170.71,25.74,13.09,0.0857,13.17,12.57,3.51,0.435,-0.3673,0.0433,0.0254,169.69,4.3,95.16,99.46,70.23,,
Albania,Europe & Central Asia,Upper middle income,2020-05-17,41.15,20.17,2842338,5353,,,946,781,31,946,812,134,12.0,12.0,11.29,0.0,11.29,0.714,-0.3714,-0.0286,,,,-0.2171,,,0.0382,0.0328,332.82,10.91,274.77,285.68,47.14,,
Algeria,Middle East & North Africa,Lower middle income,2020-05-17,28.03,1.66,43800627,3948,,,7019,4610,548,7019,5158,1861,184.14,184.14,159.14,6.57,165.71,18.43,-0.2,1.97,0.0,1.97,-2.1714,-0.4171,0.0091,,0.106,0.0781,160.25,12.51,105.25,117.76,42.49,,
Andorra,Europe & Central Asia,High income,2020-05-17,42.51,1.52,77816,40886,,,761,687,51,761,738,23,0.286,0.286,2.0,0.286,2.29,-2.0,-0.1429,-0.1714,-0.0286,-0.2,0.0571,,,,0.0691,0.067,9779.48,655.39,8828.52,9483.91,295.57,,
Angola,Sub-Saharan Africa,Lower middle income,2020-05-17,-11.2027,17.87,32955878,2974,,,48,37,2,48,39,9,1.0,1.0,0.714,0.143,0.857,0.143,0.257,-0.0571,,,,,,,0.0513,0.0417,1.46,0.0607,1.12,1.18,0.273,,
Antigua and Barbuda,Latin America & Caribbean,High income,2020-05-17,17.06,-61.7964,98378,17790,,,25,21,3,25,24,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.125,0.12,254.12,30.49,213.46,243.96,10.16,,
Argentina,Latin America & Caribbean,Upper middle income,2020-05-17,-38.4161,-63.6167,45409183,10006,103220,samples tested,8068,5256,373,8068,5629,2439,343.43,343.43,204.14,10.57,214.71,128.71,32.46,11.17,0.257,11.43,21.03,7.31,0.827,,0.0663,0.0462,177.67,8.21,115.75,123.96,53.71,12.79,2273.11
Armenia,Europe & Central Asia,Upper middle income,2020-05-17,40.07,45.04,2951958,4623,,,4472,2910,60,4472,2970,1502,221.86,221.86,130.29,2.71,133.0,88.86,20.71,7.57,0.2,7.77,12.94,0.909,-0.5006,,0.0202,0.0134,1514.93,20.33,985.79,1006.11,508.81,,
Australia,East Asia & Pacific,High income,2020-05-17,-31.9962,141.23,25742062,54907,1042126,samples tested,7054,6717,99,7054,6816,238,13.14,13.14,22.29,0.286,22.57,-9.4286,-1.2,-0.9714,0.0286,-0.9429,-0.2571,,,,0.0145,0.014,274.03,3.85,260.93,264.78,9.25,147.74,40483.39
Austria,Europe & Central Asia,High income,2020-05-17,47.52,14.55,8925126,50277,362509,samples tested,16242,14904,629,16242,15533,709,50.86,50.86,62.86,1.29,64.14,-13.2857,-1.2571,-1.1143,-0.1143,-1.2286,-0.0286,-0.8743,,,0.0405,0.0387,1819.81,70.48,1669.89,1740.37,79.44,22.32,40616.68
Azerbaijan,Europe & Central Asia,Upper middle income,2020-05-17,40.14,47.58,10139740,4794,,,3274,2273,39,3274,2312,962,124.71,124.71,80.14,1.14,81.29,43.43,3.43,3.57,0.0857,3.66,-0.2286,-0.7257,-0.208,,0.0169,0.0119,322.89,3.85,224.17,228.01,94.87,,
Bahamas,Latin America & Caribbean,High income,2020-05-17,25.03,-77.3963,395005,32933,,,96,75,11,96,86,10,0.429,0.429,1.0,0.0,1.0,-0.5714,-0.0857,-0.0571,,,,,,,0.128,0.115,243.03,27.85,189.87,217.72,25.32,,
Bahrain,Middle East & North Africa,High income,2020-05-17,26.03,50.55,1721141,23504,236828,units unclear,6956,4527,12,6956,4539,2417,296.0,296.0,217.43,0.286,217.71,78.29,-5.2571,6.97,-0.1143,6.86,-12.1143,1.02,,,0.0026,0.0017,4041.51,6.97,2630.23,2637.2,1404.3,34.05,137599.42
Bangladesh,South Asia,Lower middle income,2020-05-17,23.68,90.36,165159428,1856,175408,samples tested,22268,12774,328,22268,13102,9166,1273.71,1273.71,793.14,16.71,809.86,463.86,72.26,40.11,0.971,41.09,31.17,4.9,-1.3566,,0.025,0.0147,134.83,1.99,77.34,79.33,55.5,7.88,1062.05
Barbados,Latin America & Caribbean,High income,2020-05-17,13.19,-59.5432,287865,18148,,,88,74,7,88,81,7,0.714,0.714,0.429,0.0,0.429,0.286,0.0286,0.0,,,,-0.0171,,,0.0864,0.0795,305.7,24.32,257.06,281.38,24.32,,
Belarus,Europe & Central Asia,Upper middle income,2020-05-17,53.71,27.95,9440611,6663,350515,samples tested,29650,19887,165,29650,20052,9598,943.0,943.0,856.14,4.71,860.86,82.14,-2.9714,8.83,0.0,8.83,-11.8,-0.6743,,,0.0082,0.0056,3140.69,17.48,2106.54,2124.02,1016.67,11.82,37128.42
Belgium,Europe & Central Asia,High income,2020-05-17,50.83,4.0,11552899,46117,574573,units unclear,55280,40787,9052,55280,49839,5441,286.0,286.0,469.43,43.86,513.29,-227.2857,-9.4857,-18.0571,-4.0857,-22.1429,12.66,,,,0.182,0.164,4784.95,783.53,3530.46,4313.98,470.96,10.39,49734.1
Belize,Latin America & Caribbean,Upper middle income,2020-05-17,13.19,-59.5432,399843,4815,,,18,16,2,18,18,0,0.0,0.0,0.143,0.0,0.143,-0.1429,,0.0,,,,,,,0.111,0.111,45.02,5.0,40.02,45.02,0.0,,
Benin,Sub-Saharan Africa,Lower middle income,2020-05-17,9.31,2.32,12142401,1219,,,339,214,2,339,216,123,-28.1429,-28.1429,9.57,0.0,9.57,-37.7143,-6.4,-2.5714,,,,,,,0.0093,0.0059,27.92,0.165,17.62,17.79,10.13,,
