Country,Region,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,South Asia,Low income,2020-04-18,33.0,65.0,39271946,,,,933,472,30,933,502,431,54.0,54.0,36.43,1.86,38.29,15.71,1.74,1.6,0.0,1.6,0.143,0.846,0.455,0.0832,0.0598,23.76,0.764,12.02,12.78,10.97,,
Albania,Europe & Central Asia,Upper middle income,2020-04-18,41.15,20.17,2842338,5353,,,548,352,26,548,378,170,19.14,19.14,15.14,0.286,15.43,3.71,0.857,0.286,-0.0571,0.229,0.629,0.137,0.0183,0.0082,0.0688,192.8,9.15,123.84,132.99,59.81,,
Algeria,Middle East & North Africa,Lower middle income,2020-04-18,28.03,1.66,43800627,3948,,,2534,1174,367,2534,1541,993,105.86,105.86,75.86,9.43,85.29,20.57,0.857,2.86,-0.9429,1.91,-1.0571,-0.9143,-0.0846,0.152,0.238,57.85,8.38,26.8,35.18,22.67,,
Andorra,Europe & Central Asia,High income,2020-04-18,42.51,1.52,77816,40886,,,704,486,35,704,521,183,8.29,8.29,16.14,0.857,17.0,-8.7143,-1.5143,-0.5429,-0.1429,-0.6857,-0.8286,0.0057,0.0274,0.0066,0.0672,9046.98,449.78,6245.5,6695.28,2351.7,,
Angola,Sub-Saharan Africa,Lower middle income,2020-04-18,-11.2027,17.87,32955878,2974,,,24,13,2,24,15,9,0.714,0.714,0.571,0.0,0.571,0.143,0.0286,-0.0286,0.0,-0.0286,0.0571,-0.0514,-0.0229,0.0025,0.133,0.728,0.0607,0.394,0.455,0.273,,
Antigua and Barbuda,Latin America & Caribbean,High income,2020-04-18,17.06,-61.7964,98378,17790,,,23,14,3,23,17,6,0.0,0.0,0.429,0.143,0.571,-0.5714,-0.0286,-0.0571,-0.0286,-0.0857,0.0571,0.0286,0.0046,0.0005,0.176,233.79,30.49,142.31,172.8,60.99,,
Argentina,Latin America & Caribbean,Upper middle income,2020-04-18,-38.4161,-63.6167,45409183,10006,30942,samples tested,2758,1603,129,2758,1732,1026,107.71,107.71,84.71,6.43,91.14,16.57,2.31,1.29,0.114,1.4,0.914,1.62,0.4,-0.083,0.0745,60.74,2.84,35.3,38.14,22.59,11.22,681.4
Armenia,Europe & Central Asia,Upper middle income,2020-04-18,40.07,45.04,2951958,4623,,,1248,822,20,1248,842,406,47.71,47.71,34.71,1.14,35.86,11.86,2.37,0.857,-0.0286,0.829,1.54,0.337,-0.0183,-0.0117,0.0238,422.77,6.78,278.46,285.23,137.54,,
Australia,East Asia & Pacific,High income,2020-04-18,-31.9962,141.23,25742062,54907,406510,samples tested,6568,5302,67,6568,5369,1199,32.86,32.86,115.57,0.714,116.29,-83.4286,-1.8571,-8.0571,0.0571,-8.0,6.14,0.0686,-0.28,0.037,0.0125,255.15,2.6,205.97,208.57,46.58,61.89,15791.66
Austria,Europe & Central Asia,High income,2020-04-18,47.52,14.55,8925126,50277,175932,samples tested,14671,11413,443,14671,11856,2815,92.43,92.43,257.43,15.29,272.71,-180.2857,-9.6857,-17.0,0.171,-16.8286,7.14,2.07,-0.0709,-0.1911,0.0374,1643.79,49.64,1278.75,1328.38,315.4,11.99,19711.99
Azerbaijan,Europe & Central Asia,Upper middle income,2020-04-18,40.14,47.58,10139740,4794,,,1373,816,18,1373,834,539,40.43,40.43,48.29,1.0,49.29,-8.8571,-1.4286,-0.7143,-0.0571,-0.7714,-0.6571,0.566,-0.0229,-0.0809,0.0216,135.41,1.78,80.48,82.25,53.16,,
Bahamas,Latin America & Caribbean,High income,2020-04-18,25.03,-77.3963,395005,32933,,,55,27,9,55,36,19,2.29,2.29,1.57,0.143,1.71,0.571,0.286,-0.0571,0.0571,0.0,0.286,0.0343,-0.0114,-0.0123,0.25,139.24,22.78,68.35,91.14,48.1,,
Bahrain,Middle East & North Africa,High income,2020-04-18,26.03,50.55,1721141,23504,82568,units unclear,1773,1039,7,1773,1046,727,63.57,63.57,70.14,0.0,70.14,-6.5714,-6.1714,1.2,0.0,1.2,-7.3714,3.26,2.01,-0.085,0.0067,1030.13,4.07,603.67,607.74,422.39,46.57,47972.83
Bangladesh,South Asia,Lower middle income,2020-04-18,23.68,90.36,165159428,1856,21307,samples tested,2144,550,84,2144,634,1510,338.57,338.57,112.57,9.14,121.71,216.86,27.2,17.51,0.371,17.89,9.31,-2.4171,-1.0846,-0.0414,0.132,12.98,0.509,3.33,3.84,9.14,9.94,129.01
Barbados,Latin America & Caribbean,High income,2020-04-18,13.19,-59.5432,287865,18148,,,75,52,5,75,57,18,0.429,0.429,1.57,0.143,1.71,-1.2857,-0.1714,-0.1143,0.0,-0.1143,-0.0571,0.0457,0.0091,0.0011,0.0877,260.54,17.37,180.64,198.01,62.53,,
Belarus,Europe & Central Asia,Upper middle income,2020-04-18,53.71,27.95,9440611,6663,92709,samples tested,5297,1992,45,5297,2037,3260,491.71,491.71,265.14,3.14,268.29,223.43,21.34,20.86,-0.0571,20.8,0.543,1.51,0.85,0.183,0.0221,561.09,4.77,211.0,215.77,345.32,17.5,9820.23
Belgium,Europe & Central Asia,High income,2020-04-18,50.83,4.0,11552899,46117,147463,units unclear,37183,18171,5453,37183,23624,13559,1405.29,1405.29,965.29,263.0,1228.29,177.0,-33.6286,20.86,-13.5429,7.31,-40.9429,-2.72,0.243,0.0866,0.231,3218.5,472.0,1572.85,2044.85,1173.64,3.97,12764.16
Belize,Latin America & Caribbean,Upper middle income,2020-04-18,13.19,-59.5432,399843,4815,,,18,9,2,18,11,7,0.0,0.0,0.714,0.0,0.714,-0.7143,-0.1429,-0.0571,0.0,-0.0571,-0.0857,0.0571,0.0171,-0.0032,0.182,45.02,5.0,22.51,27.51,17.51,,
Benin,Sub-Saharan Africa,Lower middle income,2020-04-18,9.31,2.32,12142401,1219,,,35,24,1,35,25,10,2.71,2.71,1.14,0.0,1.14,1.57,0.543,0.0571,0.0,0.0571,0.486,-0.0571,-0.0686,-0.0203,0.04,2.88,0.0824,1.98,2.06,0.824,,
Bhutan,South Asia,Lower middle income,2020-04-18,27.51,90.43,773424,718,,,5,4,0,5,4,1,0.143,0.143,0.143,0.0,0.143,0.0,0.0571,0.0286,0.0,0.0286,0.0286,0.0114,-0.0011,-0.0016,0.0,6.46,0.0,5.17,5.17,1.29,,
Bolivia,Latin America & Caribbean,Lower middle income,2020-04-18,-16.2902,-63.5887,11704384,3552,3923,units unclear,493,223,31,493,254,239,34.86,34.86,19.86,0.857,20.71,14.14,1.26,1.09,0.0857,1.17,0.0857,0.526,0.299,-0.0105,0.122,42.12,2.65,19.05,21.7,20.42,7.96,335.17
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,2020-04-18,43.92,17.68,3278863,6073,,,1268,749,47,1268,796,472,37.0,37.0,39.29,1.57,40.86,-3.8571,-2.1714,-0.1143,0.0286,-0.0857,-2.0857,-0.1143,0.0754,0.0425,0.059,386.72,14.33,228.43,242.77,143.95,,
Botswana,Sub-Saharan Africa,Upper middle income,2020-04-18,-22.3285,24.68,2345019,7961,,,15,8,1,15,9,6,1.0,1.0,0.571,0.0,0.571,0.429,0.143,0.0286,0.0,0.0286,0.114,0.0,-0.0297,-0.0009,0.111,6.4,0.426,3.41,3.84,2.56,,
