country,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,2020-05-10,33.0,65.0,39653765,,,,4402,2305,120,4402,2425,1977,277.17,166.17,4.33,170.5,106.67,13.67,9.78,0.5,10.28,3.39,-0.0972,0.0191,,0.0495,0.0273,111.01,3.03,58.13,61.15,49.86,,
Albania,2020-05-10,41.15,20.17,2842650,5269,,,868,701,31,868,732,136,6.33,12.33,0.0,12.33,-6.0,0.0,-0.3611,,,,,,,0.0423,0.0357,305.35,10.91,246.6,257.51,47.84,,
Algeria,2020-05-10,28.03,1.66,43697354,4115,,,5723,3543,502,5723,4045,1678,178.5,144.33,6.5,150.83,27.67,0.639,2.56,0.0833,2.64,-2.0,,,,0.124,0.0877,130.97,11.49,81.08,92.57,38.4,,
Andorra,2020-05-10,42.51,1.52,78418,42030,,,755,669,48,755,717,38,1.33,3.33,0.333,3.67,-2.3333,0.0278,-0.2222,0.0,-0.2222,0.25,-0.0556,,,0.0669,0.0636,9627.89,612.1,8531.2,9143.31,484.58,,
Angola,2020-05-10,-11.2027,17.87,33046756,3432,,,45,29,2,45,31,14,1.5,1.17,0.0,1.17,0.333,-0.1944,0.0278,,,,,,,0.0645,0.0444,1.36,0.0605,0.878,0.938,0.424,,
Antigua and Barbuda,2020-05-10,17.06,-61.7964,98848,16727,,,25,21,3,25,24,1,0.0,0.167,0.0,0.167,-0.1667,,-0.0278,,,,,,,0.125,0.12,252.91,30.35,212.45,242.8,10.12,,
Argentina,2020-05-10,-38.4161,-63.6167,45433446,11684,83018,samples tested,6034,4029,305,6034,4334,1700,251.33,143.67,7.83,151.5,99.83,17.33,7.56,0.361,7.92,9.42,-0.9722,-0.0816,,0.0704,0.0505,132.81,6.71,88.68,95.39,37.42,13.76,1827.24
Armenia,2020-05-10,40.07,45.04,2938968,4212,,,3313,2140,45,3313,2185,1128,139.0,97.33,1.0,98.33,40.67,4.56,3.39,0.111,3.5,1.06,3.15,0.507,,0.0206,0.0136,1127.27,15.31,728.15,743.46,383.81,,
Australia,2020-05-10,-31.9962,141.23,25731295,57396,827872,samples tested,6948,6541,97,6948,6638,310,12.67,29.17,0.167,29.33,-16.6667,-0.1389,-1.3056,0.0,-1.3056,1.17,,,,0.0146,0.014,270.02,3.77,254.2,257.97,12.05,119.15,32173.74
Austria,2020-05-10,47.52,14.55,8937767,51500,316508,samples tested,15871,14441,618,15871,15059,812,40.83,72.83,2.5,75.33,-34.5,2.22,-2.8889,-0.1944,-3.0833,5.31,-0.2569,-0.1806,,0.041,0.0389,1775.72,69.14,1615.73,1684.87,90.85,19.94,35412.42
