country,income_group,date,latitude,longitude,estimated_population,gdp_per_capita,total_tests,test_kind,confirmed,recovered,deaths,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi,tests_per_confirmed,tests_per_1mi
Afghanistan,,2020-03-09,33.0,65.0,39653765,,,,4,1,0,4,1,3,1.0,0.16666666666666666,,,,0.25,,,,,,,,0.0,0.0,0.10087314533689298,0.0,0.025218286334223246,0.025218286334223246,0.07565485900266973,,
Albania,Upper middle income,2020-03-09,41.1533,20.1683,2842650,5269,,,2,0,0,2,0,2,,,,,,,,,,,,,,,0.0,0.7035688530068774,0.0,0.0,0.0,0.7035688530068774,,
Algeria,Upper middle income,2020-03-09,28.0339,1.6596,43697354,4115,,,20,7,0,20,7,13,1.1666666666666667,1.0,,,,0.36111111111111116,-0.05555555555555556,,,,,,,0.0,0.0,0.4576936168720879,0.0,0.1601927659052308,0.1601927659052308,0.2975008509668572,,
Andorra,High income,2020-03-09,42.5063,1.5218,78418,42030,,,1,0,0,1,0,1,0.0,,,,,,,,,,,,,,0.0,12.752174245708893,0.0,0.0,0.0,12.752174245708893,,
Angola,Lower middle income,2020-03-09,-11.2027,17.8739,33046756,3432,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,High income,2020-03-09,17.0608,-61.7964,98848,16727,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Argentina,Upper middle income,2020-03-09,-38.4161,-63.6167,45433446,11684,,,12,1,1,12,2,10,2.8333333333333335,,,,,0.6111111111111112,,,,,,,,0.5,0.08333333333333333,0.26412260254262904,0.02201021687855242,0.02201021687855242,0.04402043375710484,0.22010216878552422,,
Armenia,Upper middle income,2020-03-09,40.0691,45.0382,2938968,4212,,,1,1,0,1,1,0,0.5,,,,,,,,,,,,,0.0,0.0,0.3402554910431145,0.0,0.3402554910431145,0.3402554910431145,0.0,,
Australia,High income,2020-03-09,-31.9961875,141.2327875,25731295,57396,,,91,33,3,91,36,55,11.333333333333334,4.666666666666667,0.16666666666666666,4.833333333333334,6.5,4.277777777777779,1.0277777777777777,-0.05555555555555555,0.9722222222222221,3.3055555555555562,1.0416666666666667,0.11979166666666666,0.03906249999999996,0.08333333333333333,0.03296703296703297,3.536549559592706,0.11658954592063867,1.2824850051270253,1.3990745510476639,2.1374750085450422,,
Austria,High income,2020-03-09,47.5162,14.5501,8937767,51500,4734,samples tested,131,28,0,131,28,103,41.166666666666664,9.333333333333334,,,,17.194444444444446,3.388888888888889,,,,3.6180555555555567,0.02256944444444442,-0.18619791666666685,0.0,0.0,14.656904795123882,0.0,3.1327735439959445,3.1327735439959445,11.524131251127939,36.13740458015267,529.6624984741715
Azerbaijan,Upper middle income,2020-03-09,40.1431,47.5769,10175641,4722,,,9,3,0,9,3,6,0.8333333333333334,0.6666666666666666,,,,0.22222222222222224,0.02777777777777778,,,,,,,0.0,0.0,0.8844651653885981,0.0,0.29482172179619937,0.29482172179619937,0.5896434435923987,,
Bahamas,High income,2020-03-09,25.0343,-77.3963,396839,32218,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bahrain,High income,2020-03-09,26.0275,50.55,1726667,24051,7830,units unclear,95,40,0,95,40,55,22.5,6.166666666666667,,,,2.0277777777777772,1.0277777777777777,,,,-1.2430555555555554,,,0.0,0.0,55.019294397819614,0.0,23.166018693818785,23.166018693818785,31.85327570400083,82.42105263157895,4534.748159315027
Bangladesh,Lower middle income,2020-03-09,23.685,90.3563,165611088,1698,137,samples tested,3,0,0,3,0,3,,,,,,,,,,,,,,,0.0,0.018114729129730733,0.0,0.0,0.0,0.018114729129730733,45.666666666666664,0.8272392969243701
Barbados,High income,2020-03-09,13.1939,-59.5432,288373,17949,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Belarus,Upper middle income,2020-03-09,53.7098,27.9534,9429921,6330,,samples tested,6,3,0,6,3,3,1.0,0.5,,,,0.4444444444444444,,,,,0.05555555555555555,,,0.0,0.0,0.6362725626227409,0.0,0.31813628131137045,0.31813628131137045,0.31813628131137045,,
