Country,Income Group,Date,Latitude,Longitude,Estimated Population,Gdp Per Capita,Total Tests,Test Kind,Confirmed,Recovered,Deaths,Infected,Closed,Active,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi,Tests Per Confirmed,Tests Per 1Mi
Afghanistan,,2020-02-04,33.0,65.0,39653765,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Albania,Upper middle income,2020-02-04,41.15,20.17,2842650,5269,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Algeria,Upper middle income,2020-02-04,28.03,1.66,43697354,4115,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Andorra,High income,2020-02-04,42.51,1.52,78418,42030,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Angola,Lower middle income,2020-02-04,-11.2027,17.87,33046756,3432,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Antigua and Barbuda,High income,2020-02-04,17.06,-61.7964,98848,16727,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Argentina,Upper middle income,2020-02-04,-38.4161,-63.6167,45433446,11684,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Armenia,Upper middle income,2020-02-04,40.07,45.04,2938968,4212,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Australia,High income,2020-02-04,-31.9962,141.23,25731295,57396,,,13,5,0,13,5,8,0.5,0.667,,,,-0.1389,0.0,,,,,,,0.0,0.0,0.505,0.0,0.194,0.194,0.311,,
Austria,High income,2020-02-04,47.52,14.55,8937767,51500,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Azerbaijan,Upper middle income,2020-02-04,40.14,47.58,10175641,4722,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bahamas,High income,2020-02-04,25.03,-77.3963,396839,32218,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bahrain,High income,2020-02-04,26.03,50.55,1726667,24051,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bangladesh,Lower middle income,2020-02-04,23.68,90.36,165611088,1698,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Barbados,High income,2020-02-04,13.19,-59.5432,288373,17949,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Belarus,Upper middle income,2020-02-04,53.71,27.95,9429921,6330,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Belgium,High income,2020-02-04,50.83,4.0,11572730,47472,,,1,0,0,1,0,1,,,,,,,,,,,,,,,0.0,0.0864,0.0,0.0,0.0,0.0864,,
Belize,Upper middle income,2020-02-04,13.19,-59.5432,402155,4885,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Benin,Low income,2020-02-04,9.31,2.32,12160701,1241,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bhutan,Lower middle income,2020-02-04,27.51,90.43,775132,3243,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bolivia,Lower middle income,2020-02-04,-16.2902,-63.5887,11736772,3549,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Bosnia and Herzegovina,Upper middle income,2020-02-04,43.92,17.68,3279568,6066,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Botswana,Upper middle income,2020-02-04,-22.3285,24.68,2334686,8259,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
Brazil,Upper middle income,2020-02-04,-14.235,-51.9253,213724406,9001,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
